taxonomy_id,phylum,class,order,family,genus,species,strain,Gram.stain,genome_size,,,
1001534,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,Francisella tularensis subsp. tularensis TI0902,negative,1892857,,,
1001542,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,Francisella tularensis subsp. tularensis TIGB03,negative,1968610,,,
1001582,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus amyloliquefaciens,Bacillus amyloliquefaciens LL3,positive,4001985,,,
1001583,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,Levilactobacillus brevis KB290,positive,2587877,,,
1001585,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Ectopseudomonas,Ectopseudomonas mendocina,Pseudomonas mendocina NK-01,negative,5434353,,,
1001714,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacteroides,Mycobacteroides abscessus,Mycobacteroides abscessus subsp. massiliense CCUG 48898 = JCM 15300,positive,4978382,,,
100177,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,Borreliella,Borreliella lusitaniae,NA,negative,1175719.5,,,
1001989,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia coli PCN033,negative,5156873,,,
100225,Actinomycetota,Actinomycetes,Micrococcales,Dermatophilaceae,Austwickia,Austwickia chelonae,Austwickia chelonae,positive,3588156.5,,,
100226,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces coelicolor,Streptomyces coelicolor A3(2),positive,8667664,,,
1002546,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Cohaesibacteraceae,Cohaesibacter,uncultured Cohaesibacter sp.,NA,negative,5155553,,,
